# Distance from each area's registered centre to the Polish border, in km.
# NOT the nearest-edge distance: use the interval, never centre_km alone.
# register  sha256:0952de2b19b1fed78b041cac415f296c73b663649e1325f0823082c4f7db1024  ua-geo data/out/katottg.csv
# border    sha256:9271d3b94c69fd837f08318400c6c4e70d7ca262d20237b6b79d548f83f8b154  natural earth 10m admin_0 countries
# method    tools/border_distance.py, geodesic point-to-arc, R=6371.0088 km
tag,katottg_code,centre_km,radius_km,lower_km,upper_km
м_Нікополь_та_Нікопольська_територіальна_громада,UA12080050000062712,817.2,4.0,813.1,821.2
м_Харків_та_Харківська_територіальна_громада,UA63120270000028556,863.6,10.6,853.1,874.2
Харківський_район,UA63120000000091135,860.6,32.0,828.6,892.6
м_Запоріжжя_та_Запорізька_територіальна_громада,UA23060070000082704,856.5,10.0,846.5,866.5
Запорізький_район,UA23060000000070350,869.4,38.6,830.8,908.0
Пологівський_район,UA23100000000034132,963.5,46.4,917.1,1009.9
Богодухівський_район,UA63020000000066931,798.9,37.9,761.0,836.7
Купянський_район,UA63080000000032022,960.4,38.3,922.1,998.8
Чугуївський_район,UA63140000000096278,907.7,39.1,868.6,946.8
Ізюмський_район,UA63040000000023521,939.8,43.4,896.4,983.2
Нікопольський_район,UA12080000000023578,815.6,32.1,783.5,847.7
Конотопський_район,UA59020000000081905,667.8,40.6,627.1,708.4
Шосткинський_район,UA59100000000036457,671.8,40.2,631.7,712.0
Дніпровський_район,UA12020000000052809,814.5,42.1,772.5,856.6
Сумський_район,UA59080000000057897,747.1,45.5,701.6,792.6
Криворізький_район,UA12060000000022633,745.6,42.7,702.9,788.3
Охтирський_район,UA59040000000045652,769.6,31.9,737.7,801.5
Лозівський_район,UA63100000000059237,894.9,35.8,859.1,930.8
Павлоградський_район,UA12120000000089862,875.6,27.8,847.8,903.4
Миколаївський_район,UA48060000000094390,688.1,52.5,635.7,740.6
Чернігівський_район,UA74100000000047140,496.7,57.1,439.7,553.8
Полтавський_район,UA53080000000068029,753.7,58.8,694.9,812.4
Мелітопольський_район,UA23080000000090746,924.5,47.2,877.3,971.6
Василівський_район,UA23040000000067730,864.6,37.0,827.6,901.6
Бердянський_район,UA23020000000032289,995.9,37.9,958.0,1033.7
Одеський_район,UA51100000000095786,621.1,35.4,585.7,656.5
Корюківський_район,UA74020000000089267,572.9,38.3,534.6,611.2
Камянський_район,UA12040000000032213,757.3,39.3,718.0,796.6
Ніжинський_район,UA74040000000028062,531.8,48.0,483.9,579.8
Новомосковський_район,UA12100000000039307,826.4,33.3,793.1,859.6
Красноградський_район,UA63060000000053698,836.8,37.2,799.7,874.0
Миргородський_район,UA53060000000045271,688.9,44.7,644.2,733.6
Роменський_район,UA59060000000086008,669.4,35.2,634.3,704.6
Бериславський_район,UA65020000000032929,775.7,39.0,736.7,814.7
НовгородСіверський_район,UA74060000000063946,624.1,38.4,585.7,662.5
Баштанський_район,UA48020000000033544,706.0,46.2,659.8,752.2
Херсонський_район,UA65100000000029736,755.9,35.0,720.9,790.9
Синельниківський_район,UA12140000000011720,901.0,45.9,855.1,946.9
Лубенський_район,UA53040000000081308,623.1,41.8,581.3,664.9
Кропивницький_район,UA35040000000034705,650.4,55.6,594.7,706.0
Прилуцький_район,UA74080000000030554,594.3,40.7,553.6,635.1
Олександрійський_район,UA35080000000062763,692.7,41.5,651.2,734.3
Кременчуцький_район,UA53020000000034761,665.2,44.1,621.2,709.3
Ізмаїльський_район,UA51080000000061776,615.7,33.8,581.9,649.4
БілгородДністровський_район,UA51040000000032911,628.6,40.6,588.0,669.3
Болградський_район,UA51060000000057808,584.6,37.8,546.9,622.4
Кальміуський_район,UA14100000000010319,1074.0,31.6,1042.4,1105.5
Краматорський_район,UA14120000000070232,978.1,40.6,937.5,1018.8
Горлівський_район,UA14060000000024357,1064.6,27.7,1036.9,1092.3
Маріупольський_район,UA14140000000070889,1040.7,29.0,1011.7,1069.7
Донецький_район,UA14080000000098686,1063.1,30.6,1032.5,1093.7
Бахмутський_район,UA14020000000013572,1023.1,23.6,999.5,1046.7
Волноваський_район,UA14040000000098211,998.6,37.7,960.9,1036.2
Покровський_район,UA14160000000061982,998.6,35.7,962.9,1034.2
Вишгородський_район,UA32100000000065867,410.1,46.9,363.2,456.9
Донецька_область,UA14000000000091971,1035.1,96.0,939.1,1131.0
Новоукраїнський_район,UA35060000000086172,571.3,40.7,530.7,612.0
Золотоніський_район,UA71040000000022553,577.3,36.8,540.4,614.1
Черкаський_район,UA71080000000036344,560.4,46.8,513.6,607.3
Голованівський_район,UA35020000000074289,514.2,36.7,477.5,551.0
Вознесенський_район,UA48040000000011780,626.5,44.2,582.3,670.8
Броварський_район,UA32060000000012455,522.6,30.3,492.2,552.9
Звенигородський_район,UA71020000000057292,524.5,41.0,483.5,565.5
Скадовський_район,UA65080000000090947,764.9,40.9,724.0,805.8
Каховський_район,UA65060000000061947,818.2,45.1,773.1,863.3
Генічеський_район,UA65040000000088940,895.6,47.6,848.0,943.3
Первомайський_район,UA48080000000082320,562.9,34.8,528.1,597.6
Покровська_територіальна_громада,UA12080090000039979,786.7,7.4,779.3,794.1
Уманський_район,UA71060000000030325,466.8,37.9,428.9,504.7
Бориспільський_район,UA32040000000054694,497.3,35.1,462.2,532.5
Березівський_район,UA51020000000097683,603.7,42.0,561.7,645.7
Роздільнянський_район,UA51140000000094970,563.1,33.7,529.4,596.8
Подільський_район,UA51120000000021678,517.2,47.4,469.8,564.6
Коростенський_район,UA18060000000021754,295.9,59.4,236.5,355.3
Бучанський_район,UA32080000000084076,406.7,28.5,378.2,435.3
Обухівський_район,UA32120000000081110,491.1,34.0,457.1,525.1
Фастівський_район,UA32140000000020217,416.4,23.7,392.7,440.0
Житомирський_район,UA18040000000058965,332.4,57.8,274.6,390.2
Білоцерківський_район,UA32020000000057002,439.0,45.5,393.5,484.6
м_Марганець_та_Марганецька_територіальна_громада,UA12080010000029838,837.2,9.2,828.0,846.4
Вінницький_район,UA05020000000026686,371.3,46.9,324.5,418.2
Гайсинський_район,UA05040000000050292,447.1,42.5,404.6,489.6
Хмільницький_район,UA05120000000017020,322.7,34.3,288.4,357.0
