tag,count,unit,register_name,oblast,katottg_code,status,note
м_Нікополь_та_Нікопольська_територіальна_громада,2703,H,Нікопольська,Дніпропетровська,UA12080050000062712,ok,
м_Харків_та_Харківська_територіальна_громада,2523,H,Харківська,Харківська,UA63120270000028556,ok,
Харківський_район,1806,P,Харківський,Харківська,UA63120000000091135,ok,
м_Запоріжжя_та_Запорізька_територіальна_громада,1797,H,Запорізька,Запорізька,UA23060070000082704,ok,
Запорізький_район,1695,P,Запорізький,Запорізька,UA23060000000070350,ok,
Пологівський_район,1686,P,Пологівський,Запорізька,UA23100000000034132,ok,
Богодухівський_район,1602,P,Богодухівський,Харківська,UA63020000000066931,ok,
Купянський_район,1560,P,Куп’янський,Харківська,UA63080000000032022,ok,
Чугуївський_район,1499,P,Чугуївський,Харківська,UA63140000000096278,ok,
Ізюмський_район,1347,P,Ізюмський,Харківська,UA63040000000023521,ok,
Нікопольський_район,1244,P,Нікопольський,Дніпропетровська,UA12080000000023578,ok,
Конотопський_район,1236,P,Конотопський,Сумська,UA59020000000081905,ok,
Шосткинський_район,1224,P,Шосткинський,Сумська,UA59100000000036457,ok,
Дніпровський_район,1210,P,Дніпровський,Дніпропетровська,UA12020000000052809,ok,
Сумський_район,1202,P,Сумський,Сумська,UA59080000000057897,ok,
Криворізький_район,1196,P,Криворізький,Дніпропетровська,UA12060000000022633,ok,
Охтирський_район,1114,P,Охтирський,Сумська,UA59040000000045652,ok,
Лозівський_район,1085,P,Лозівський,Харківська,UA63100000000059237,ok,
Павлоградський_район,1073,P,Павлоградський,Дніпропетровська,UA12120000000089862,ok,
Миколаївський_район,1064,P,Миколаївський,Миколаївська,UA48060000000094390,ok,
Чернігівський_район,1024,P,Чернігівський,Чернігівська,UA74100000000047140,ok,
Полтавський_район,1009,P,Полтавський,Полтавська,UA53080000000068029,ok,
Мелітопольський_район,1007,P,Мелітопольський,Запорізька,UA23080000000090746,ok,
Василівський_район,1007,P,Василівський,Запорізька,UA23040000000067730,ok,
Бердянський_район,1007,P,Бердянський,Запорізька,UA23020000000032289,ok,
Одеський_район,925,P,Одеський,Одеська,UA51100000000095786,ok,
Корюківський_район,923,P,Корюківський,Чернігівська,UA74020000000089267,ok,
Камянський_район,922,P,Кам’янський,Дніпропетровська,UA12040000000032213,ok,
Ніжинський_район,868,P,Ніжинський,Чернігівська,UA74040000000028062,ok,
Новомосковський_район,866,P,Новомосковський,Дніпропетровська,UA12100000000039307,ok,
Красноградський_район,865,P,Красноградський,Харківська,UA63060000000053698,ok,
Миргородський_район,859,P,Миргородський,Полтавська,UA53060000000045271,ok,
Роменський_район,812,P,Роменський,Сумська,UA59060000000086008,ok,
Бериславський_район,788,P,Бериславський,Херсонська,UA65020000000032929,ok,
НовгородСіверський_район,785,P,Новгород-Сіверський,Чернігівська,UA74060000000063946,ok,
Баштанський_район,783,P,Баштанський,Миколаївська,UA48020000000033544,ok,
Херсонський_район,782,P,Херсонський,Херсонська,UA65100000000029736,ok,
Синельниківський_район,760,P,Синельниківський,Дніпропетровська,UA12140000000011720,ok,
Лубенський_район,716,P,Лубенський,Полтавська,UA53040000000081308,ok,
Кропивницький_район,708,P,Кропивницький,Кіровоградська,UA35040000000034705,ok,
